"Representative","State","Amount"
"Bell Wesley (D-MO)","Missouri","$2744534"
"Latimer George (D-NY)","New York","$2538736"
"Menendez Robert (I-NJ)","New Jersey","$2507647"
"Kirk Mark (R-IL)","Illinois","$2294469"
"Gottheimer Josh (D-NJ)","New Jersey","$2001636"
"Hoyer Steny H (D-MD)","Maryland","$1820994"
"Jeffries Hakeem (D-NY)","New York","$1741230"
"Schumer Charles E (D-NY)","New York","$1727974"
"Rosen Jacky (D-NV)","Nevada","$1711754"
"Engel Eliot (D-NY)","New York","$1618904"
"Torres Ritchie (D-NY)","New York","$1442850"
"Berkley Shelley (D-NV)","Nevada","$1403933"
"Schneider Brad (D-IL)","Illinois","$1337139"
"Bacon Donald John (R-NE)","Nebraska","$1286175"
"Wyden Ron (D-OR)","Oregon","$1280876"
"Schiff Adam (D-CA)","California","$1233039"
"Brown Sherrod (D-OH)","Ohio","$1221093"
"Cantor Eric (R-VA)","Virginia","$1152751"
"Brown Shontel (D-OH)","Ohio","$1145956"
"Durbin Dick (D-IL)","Illinois","$1127350"
"Scalise Steve (R-LA)","Louisiana","$1099754"
"Luria Elaine (D-VA)","Virginia","$1058115"
"Ros-Lehtinen Ileana (R-FL)","Florida","$1049104"
"Schultz Debbie Wasserman (D-FL)","Florida","$1036534"
"Graham Lindsey (R-SC)","South Carolina","$999580"
"Gillibrand Kirsten (D-NY)","New York","$999322"
"Lowey Nita M (D-NY)","New York","$998659"
"Stefanik Elise (R-NY)","New York","$983055"
"Stevens Haley (D-MI)","Michigan","$945864"
"Zeldin Lee (R-NY)","New York","$916334"
"Aguilar Pete (D-CA)","California","$913204"
"Cardin Ben (D-MD)","Maryland","$912535"
"Diaz-Balart Mario (R-FL)","Florida","$906461"
"Calvert Ken (R-CA)","California","$883040"
"McCaul Michael (R-TX)","Texas","$873716"
"Nelson Bill (D-FL)","Florida","$856036"
"Davis Don (D-NC)","North Carolina","$846438"
"Stabenow Debbie (D-MI)","Michigan","$838982"
"Ivey Glenn (D-MD)","Maryland","$835185"
"Golden Jared (D-ME)","Maine","$817681"
"Ciscomani Juan (R-AZ)","Arizona","$789114"
"Johnson Mike (R-LA)","Louisiana","$784621"
"Duckworth Tammy (D-IL)","Illinois","$782541"
"Deutch Ted (D-FL)","Florida","$761906"
"Schakowsky Jan (D-IL)","Illinois","$742008"
"Boxer Barbara (D-CA)","California","$725793"
"Wicker Roger (R-MS)","Mississippi","$724620"
"Baldwin Tammy (D-WI)","Wisconsin","$714541"
"Mast Brian (R-FL)","Florida","$700480"
"Auchincloss Jake (D-MA)","Massachusetts","$694051"
"Sherman Brad (D-CA)","California","$692943"
"Meeks Gregory (D-NY)","New York","$690907"
"Frankel Lois (D-FL)","Florida","$675104"
"Cole Tom (R-OK)","Oklahoma","$648206"
"McSally Martha (R-AZ)","Arizona","$642484"
"Lawler Mike (R-NY)","New York","$639253"
"Kean Thomas H Jr (R-NJ)","New Jersey","$625407"
"Peters Gary (D-MI)","Michigan","$625115"
"Meng Grace (D-NY)","New York","$619633"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$618289"
"Pelosi Nancy (D-CA)","California","$618120"
"Berman Howard L (D-CA)","California","$612190"
"Elfreth Sarah (D-MD)","Maryland","$611979"
"Emmer Tom (R-MN)","Minnesota","$592336"
"Blackburn Marsha (R-TN)","Tennessee","$587466"
"Clark Katherine (D-MA)","Massachusetts","$572808"
"Cantwell Maria (D-WA)","Washington","$568623"
"Foster Bill (D-IL)","Illinois","$551994"
"Rogers Mike D (R-AL)","Alabama","$549099"
"Slotkin Elissa (D-MI)","Michigan","$548470"
"Manning Kathy (D-NC)","North Carolina","$542666"
"Steel Michelle (R-CA)","California","$526809"
"Pappas Chris (D-NH)","New Hampshire","$523083"
"Israel Steve (D-NY)","New York","$522869"
"Allred Colin (D-TX)","Texas","$521816"
"Royce Ed (R-CA)","California","$506287"
"Udall Mark (D-CO)","Colorado","$504602"
"Smith Adam (D-WA)","Washington","$499998"
"Dold Bob (R-IL)","Illinois","$495633"
"Kyl Jon (R-AZ)","Arizona","$486812"
"Boehner John (R-OH)","Ohio","$483826"
"Rothman Steven R (D-NJ)","New Jersey","$478814"
"Kim Young (R-CA)","California","$478226"
"Levin Sander (D-MI)","Michigan","$476577"
"McCarthy Kevin (R-CA)","California","$467228"
"Thune John (R-SD)","South Dakota","$461724"
"Craig Angie (D-MN)","Minnesota","$455643"
"Foushee Valerie (D-NC)","North Carolina","$437885"
"Kim Andy (D-NJ)","New Jersey","$427511"
"Cassidy Bill (R-LA)","Louisiana","$422740"
"Harman Jane (D-CA)","California","$422728"
"Roskam Peter (R-IL)","Illinois","$417574"
"Landsman Greg (D-OH)","Ohio","$415658"
"Barr Andy (R-KY)","Kentucky","$408968"
"Blunt Roy (R-MO)","Missouri","$408778"
"Wild Susan (D-PA)","Pennsylvania","$403947"
"Hastings Alcee (D-FL)","Florida","$402850"
"Reed Jack (D-RI)","Rhode Island","$402602"
"Boyle Brendan (D-PA)","Pennsylvania","$401878"
"Costa Jim (D-CA)","California","$399523"
"Granger Kay (R-TX)","Texas","$399288"
"Malinowski Tom (D-NJ)","New Jersey","$399202"
"Moskowitz Jared (D-FL)","Florida","$397398"
"Messmer Mark (R-IN)","Indiana","$397385"
"Gomez Jimmy (D-CA)","California","$397297"
"Garcia Mike (R-CA)","California","$397124"
"Young Todd (R-IN)","Indiana","$396478"
"Gonzales Tony (R-TX)","Texas","$384544"
"Curbelo Carlos (R-FL)","Florida","$384012"
"Santorum Rick (R)","","$380664"
"Gallego Ruben (D-AZ)","Arizona","$379877"
"Lantos Tom (D-CA)","California","$379586"
