"Senator","State","Amount"
"Biden Joe (D)","","$4226576"
"Menendez Robert (I-NJ)","New Jersey","$2507647"
"Clinton Hillary (D-NY)","New York","$2352302"
"Harris Kamala (D)","","$2346605"
"Kirk Mark (R-IL)","Illinois","$2294469"
"Lieberman Joe (D-CT)","Connecticut","$1997774"
"McConnell Mitch (R-KY)","Kentucky","$1951910"
"Cruz Ted (R-TX)","Texas","$1872592"
"Schumer Charles E (D-NY)","New York","$1727974"
"Rosen Jacky (D-NV)","Nevada","$1711754"
"McCain John (R-AZ)","Arizona","$1493816"
"Casey Bob (D-PA)","Pennsylvania","$1413643"
"Wyden Ron (D-OR)","Oregon","$1280876"
"Tester Jon (D-MT)","Montana","$1266994"
"Levin Carl (D-MI)","Michigan","$1246113"
"Schiff Adam (D-CA)","California","$1233039"
"Brown Sherrod (D-OH)","Ohio","$1221093"
"Perdue David (R-GA)","Georgia","$1139708"
"Durbin Dick (D-IL)","Illinois","$1127350"
"Specter Arlen (D-PA)","Pennsylvania","$1070245"
"Feingold Russ (D-WI)","Wisconsin","$1033216"
"Rubio Marco (R-FL)","Florida","$1013563"
"Graham Lindsey (R-SC)","South Carolina","$999580"
"Gillibrand Kirsten (D-NY)","New York","$999322"
"Romney Mitt (R-UT)","Utah","$976493"
"Warnock Raphael (D-GA)","Georgia","$922669"
"Cardin Ben (D-MD)","Maryland","$912535"
"Booker Cory (D-NJ)","New Jersey","$871313"
"Nelson Bill (D-FL)","Florida","$856036"
"Stabenow Debbie (D-MI)","Michigan","$838982"
"Landrieu Mary L (D-LA)","Louisiana","$822505"
"Duckworth Tammy (D-IL)","Illinois","$782541"
"Ossoff Jon (D-GA)","Georgia","$780858"
"Klobuchar Amy (D-MN)","Minnesota","$768630"
"Boxer Barbara (D-CA)","California","$725793"
"Wicker Roger (R-MS)","Mississippi","$724620"
"Daschle Tom (D-SD)","South Dakota","$716691"
"Baldwin Tammy (D-WI)","Wisconsin","$714541"
"Murray Patty (D-WA)","Washington","$681006"
"Fischer Deb (R-NE)","Nebraska","$667786"
"Scott Rick (R-FL)","Florida","$656821"
"Collins Susan M (R-ME)","Maine","$647758"
"Reid Harry (D-NV)","Nevada","$645367"
"McSally Martha (R-AZ)","Arizona","$642484"
"Hassan Maggie (D-NH)","New Hampshire","$641392"
"Peters Gary (D-MI)","Michigan","$625115"
"Whitehouse Sheldon (D-RI)","Rhode Island","$616721"
"Harkin Tom (D-IA)","Iowa","$607360"
"Coleman Norm (R-MN)","Minnesota","$607299"
"Kaine Tim (D-VA)","Virginia","$600065"
"Masto Catherine Cortez (D-NV)","Nevada","$596504"
"Blackburn Marsha (R-TN)","Tennessee","$587466"
"Feinstein Dianne (D-CA)","California","$569735"
"Shaheen Jeanne (D-NH)","New Hampshire","$569445"
"Cantwell Maria (D-WA)","Washington","$568623"
"Slotkin Elissa (D-MI)","Michigan","$548470"
"Ernst Joni (R-IA)","Iowa","$529190"
"Baucus Max (D-MT)","Montana","$525988"
"Ayotte Kelly (R-NH)","New Hampshire","$522014"
"Mikulski Barbara A (D-MD)","Maryland","$519009"
"Kelly Mark (D-AZ)","Arizona","$506132"
"Udall Mark (D-CO)","Colorado","$504602"
"Grassley Chuck (R-IA)","Iowa","$502541"
"Cornyn John (R-TX)","Texas","$488929"
"Kyl Jon (R-AZ)","Arizona","$486812"
"Bennet Michael (D-CO)","Colorado","$466440"
"Loeffler Kelly (R-GA)","Georgia","$463530"
"Lautenberg Frank (D-NJ)","New Jersey","$463249"
"Thune John (R-SD)","South Dakota","$461724"
"Murkowski Lisa (R-AK)","Alaska","$436022"
"Alsobrooks Angela (D-MD)","Maryland","$429849"
"Kim Andy (D-NJ)","New Jersey","$427511"
"Cassidy Bill (R-LA)","Louisiana","$422740"
"McCaskill Claire (D-MO)","Missouri","$418543"
"Inouye Daniel K (D-HI)","Hawaii","$418030"
"Blunt Roy (R-MO)","Missouri","$408778"
"Reed Jack (D-RI)","Rhode Island","$402602"
"Moreno Bernie (R-OH)","Ohio","$399636"
"Young Todd (R-IN)","Indiana","$396478"
"Blumenthal Richard (D-CT)","Connecticut","$390481"
"Santorum Rick (R)","","$380664"
"Gallego Ruben (D-AZ)","Arizona","$379877"
"Scott Tim (R-SC)","South Carolina","$378896"
"Bayh Evan (D-IN)","Indiana","$375837"
"McCormick Dave (R-PA)","Pennsylvania","$375510"
"Lee Mike (R-UT)","Utah","$374658"
"Warner Mark (D-VA)","Virginia","$372061"
"Dodd Chris (D-CT)","Connecticut","$369950"
"Banks Jim (R-IN)","Indiana","$368705"
"Lankford James (R-OK)","Oklahoma","$365560"
"Robb Charles S (D-VA)","Virginia","$363178"
"Daines Steven (R-MT)","Montana","$362266"
"Cramer Kevin (R-ND)","North Dakota","$350072"
"Johnson Ron (R-WI)","Wisconsin","$347043"
"Johnson Tim (D-SD)","South Dakota","$345569"
"Smith Gordon H (R-OR)","Oregon","$341336"
"Sinema Kyrsten (I-AZ)","Arizona","$340186"
"Heinrich Martin (D-NM)","New Mexico","$336176"
"Hoeven John (R-ND)","North Dakota","$334296"
"Burns Conrad (R-MT)","Montana","$332265"
"Toomey Pat (R-PA)","Pennsylvania","$330245"
"Crapo Mike (R-ID)","Idaho","$327673"
"Rockefeller Jay (D-WV)","West Virginia","$326086"
"Portman Rob (R-OH)","Ohio","$323546"
"Conrad Kent (D-ND)","North Dakota","$321910"
"D'Amato Alfonse M (R-NY)","New York","$318652"
"Hawley Josh (R-MO)","Missouri","$312009"
"Bennett Robert F (R-UT)","Utah","$311850"
"Boozman John (R-AR)","Arkansas","$309860"
"Roberts Pat (R-KS)","Kansas","$305700"
"Ricketts Pete (R-NE)","Nebraska","$303472"
"Sasse Ben (R-NE)","Nebraska","$302260"
"Gardner Cory (R-CO)","Colorado","$300839"
